cik,acc_nodash,date_filed,company_name,form_type,parse_status,item401_text,auditor_out,auditor_in,reason,disagreements
1024015,000091205701003644,2001-01,ACCESS ANYTIME BANCORP INC,8-K,no_items_found,,,,,
1024015,000091205701005653,2001-02,ACCESS ANYTIME BANCORP INC,8-K,no_items_found,,,,,
1024015,000091205701502976,2001-03,ACCESS ANYTIME BANCORP INC,8-K,no_items_found,,,,,
1084702,000095013601000402,2001-03,ACCIDENT PREVENTION PLUS INC,8-K,no_items_found,,,,,
718877,000091205701008153,2001-03,ACTIVISION INC /NY,8-K/A,no_items_found,,,,,
1092050,000107937201000002,2001-01,ALD SERVICES INC,8-K,no_items_found,,,,,
1092050,000107937201000005,2001-02,ALD SERVICES INC,8-K/A,no_items_found,,,,,
825313,000091205701000832,2001-01,ALLIANCE CAPITAL MANAGEMENT HOLDING LP,8-K,no_items_found,,,,,
825313,000091205701001976,2001-01,ALLIANCE CAPITAL MANAGEMENT HOLDING LP,8-K,no_items_found,,,,,
825313,000091205701004216,2001-02,ALLIANCE CAPITAL MANAGEMENT HOLDING LP,8-K,no_items_found,,,,,
1109448,000091205701000833,2001-01,ALLIANCE CAPITAL MANAGEMENT L P,8-K,no_items_found,,,,,
1109448,000091205701001975,2001-01,ALLIANCE CAPITAL MANAGEMENT L P,8-K,no_items_found,,,,,
1109448,000091205701004212,2001-02,ALLIANCE CAPITAL MANAGEMENT L P,8-K,no_items_found,,,,,
1072988,000107298801000004,2001-01,ALTREX INC,8-K,no_items_found,,,,,
896262,000095013401000015,2001-01,AMEDISYS INC,8-K,no_items_found,,,,,
5656,000109851201000026,2001-03,AMERICAN INTERNATIONAL VENTURES INC /DE/,8-K,no_items_found,,,,,
5656,000109851201000040,2001-03,AMERICAN INTERNATIONAL VENTURES INC /DE/,8-K/A,no_items_found,,,,,
1114098,000105023401500050,2001-03,AMERICAN IR TECHNOLOGIES INC,8-K,no_items_found,,,,,
1052994,000105299401500005,2001-02,AMERICAS SENIOR FINANCIAL SERVICES INC,8-K,no_items_found,,,,,
1082121,000089706901000003,2001-01,ANGELAUDIO COM INC /DE/,8-K,no_items_found,,,,,
1082121,000089706901000110,2001-02,ANGELAUDIO COM INC /DE/,8-K/A,no_items_found,,,,,
1068104,000093173101000059,2001-02,AQUA VIE BEVERAGE CORP,8-K/A,no_items_found,,,,,
1084554,000107579301000039,2001-02,AQUISTAR VENTURES USA INC,8-K,no_items_found,,,,,
1021917,000091205701008006,2001-03,ASPEON INC,8-K,no_items_found,,,,,
1021917,000091205701007474,2001-03,ASPEON INC,8-K/A,no_items_found,,,,,
1085537,000094935301000004,2001-01,AUTOTRADECENTER COM INC,8-K,no_items_found,,,,,
1059882,000093066101000522,2001-03,BANC ONE AUTO GRANTOR TRUST 1997-B,8-K,no_items_found,,,,,
1067092,000095013101500332,2001-03,BANK ONE CORP,8-K/A,no_items_found,,,,,
51072,000095012901000334,2001-01,BARGO ENERGY CO,8-K,no_items_found,,,,,
1093818,000112528201000699,2001-02,BEPARIKO BIOCOM,8-K,no_items_found,,,,,
764897,000089322001000011,2001-01,BHIT INC,8-K/A,no_items_found,,,,,
225211,000022521101000001,2001-01,BICO INC/PA,8-K,no_items_found,,,,,
225211,000022521101000002,2001-02,BICO INC/PA,8-K,no_items_found,,,,,
225211,000022521101000008,2001-03,BICO INC/PA,8-K,no_items_found,,,,,
837179,000101968701000249,2001-02,BIOGAN INTERNATIONAL INC,8-K,no_items_found,,,,,
837179,000101968701000287,2001-03,BIOGAN INTERNATIONAL INC,8-K,no_items_found,,,,,
837179,000101968701000337,2001-03,BIOGAN INTERNATIONAL INC,8-K/A,no_items_found,,,,,
837179,000101968701000338,2001-03,BIOGAN INTERNATIONAL INC,8-K/A,no_items_found,,,,,
837179,000101968701000386,2001-03,BIOGAN INTERNATIONAL INC,8-K/A,no_items_found,,,,,
1059623,000095014401001920,2001-02,BIOSHIELD TECHNOLOGIES INC,8-K,no_items_found,,,,,
1130464,000001240001000008,2001-01,BLACK HILLS CORP /SD/,8-K,no_items_found,,,,,
1083277,000101359601000024,2001-03,BUCKEYE OIL & GAS INC,8-K,no_items_found,,,,,
806277,000080627701500005,2001-02,BUSINESS MALL COM INC,8-K,no_items_found,,,,,
16590,000001659001500003,2001-01,CAMBEX CORP,8-K,no_items_found,,,,,
1007797,000106823801000033,2001-01,CANADIAN GENERAL CAPITAL,8-K,no_items_found,,,,,
1007797,000106823801000055,2001-02,CANADIAN GENERAL CAPITAL,8-K,no_items_found,,,,,
1103596,000110359601000007,2001-03,CANTRONICS CORP,8-K,no_items_found,,,,,
842927,000105050201000081,2001-02,CARE CONCEPTS INC,8-K,no_items_found,,,,,
723043,000101540201000318,2001-02,CASTLE BANCGROUP INC,8-K,no_items_found,,,,,
1000112,000093066101000521,2001-03,CC MASTER CREDIT CARD TRUST II,8-K,no_items_found,,,,,
351129,000107087601000025,2001-02,CDX COM INC,8-K,no_items_found,,,,,
1101545,000111650201000131,2001-02,CHINA VENTURES LTD,8-K,no_items_found,,,,,
1098307,000111650201000280,2001-02,CIRUS TELECOM INC,8-K,no_items_found,,,,,
1088664,000107735701000050,2001-02,CLEMENTS GOLDEN PHOENIX ENTERPRISES INC,8-K/A,no_items_found,,,,,
821356,000093980201000107,2001-03,CNH HOLDINGS CO,8-K,no_items_found,,,,,
21510,000091205701503493,2001-03,COHERENT INC,8-K,no_items_found,,,,,
1062276,000094935301000005,2001-01,COLUMBUS NETWORKS CORP,8-K/A,no_items_found,,,,,
1061822,000091205701008658,2001-03,COMPOSITE SOLUTIONS INC,8-K,no_items_found,,,,,
890175,000104596901000028,2001-01,CONSECO FINANCE CORP,8-K,no_items_found,,,,,
890175,000104596901000032,2001-01,CONSECO FINANCE CORP,8-K,no_items_found,,,,,
890175,000104596901000055,2001-01,CONSECO FINANCE CORP,8-K,no_items_found,,,,,
890175,000104596901000079,2001-01,CONSECO FINANCE CORP,8-K,no_items_found,,,,,
890175,000104596901000112,2001-02,CONSECO FINANCE CORP,8-K,no_items_found,,,,,
890175,000104596901000296,2001-03,CONSECO FINANCE CORP,8-K,no_items_found,,,,,
1094744,000104596901000028,2001-01,CONSECO FINANCE SECURITIZATIONS CORP,8-K,no_items_found,,,,,
1094744,000104596901000032,2001-01,CONSECO FINANCE SECURITIZATIONS CORP,8-K,no_items_found,,,,,
1094744,000104596901000055,2001-01,CONSECO FINANCE SECURITIZATIONS CORP,8-K,no_items_found,,,,,
1094744,000104596901000079,2001-01,CONSECO FINANCE SECURITIZATIONS CORP,8-K,no_items_found,,,,,
1094744,000104596901000112,2001-02,CONSECO FINANCE SECURITIZATIONS CORP,8-K,no_items_found,,,,,
1094744,000104596901000296,2001-03,CONSECO FINANCE SECURITIZATIONS CORP,8-K,no_items_found,,,,,
916791,000095012301500199,2001-03,CORPORATE ASSET BACKED CORP,8-K,no_items_found,,,,,
933098,000107414001000028,2001-02,CREATIVE HOST SERVICES INC,8-K/A,no_items_found,,,,,
876528,000103883801000167,2001-03,CROWN ENERGY CORP,8-K,no_items_found,,,,,
355627,000095011601000253,2001-02,CTI GROUP HOLDINGS INC,8-K,no_items_found,,,,,
1005302,000091205701008506,2001-03,CYTOGENIX INC,8-K,no_items_found,,,,,
1114708,000109581101500077,2001-02,DEL CERRO ENTERPRISES INC,8-K,no_items_found,,,,,
705581,000102048801000032,2001-03,DIGITAL COMMERCE INTERNATIONAL INC,8-K,no_items_found,,,,,
946486,000100547701000081,2001-01,DISCOVERY LABORATORIES INC /DE/,8-K/A,no_items_found,,,,,
1010698,000106083001000020,2001-02,DITA INC,8-K,no_items_found,,,,,
1075445,000107735701000029,2001-02,DIVERSIFIED PRODUCT INSPECTIONS INC /TN/,8-K,no_items_found,,,,,
54424,000093980201000108,2001-03,DIVERSIFIED TECHNOLOGIES GROUIP INC,8-K/A,no_items_found,,,,,
354699,000095012301500187,2001-03,DYNAMIC I-T INC,8-K,no_items_found,,,,,
354699,000095012301500188,2001-03,DYNAMIC I-T INC,8-K/A,no_items_found,,,,,
1109664,000108671501000001,2001-01,E SYNERGIES INC,8-K,no_items_found,,,,,
1081823,000094935301000072,2001-02,E TREND NETWORKS INC /DE,8-K,no_items_found,,,,,
800181,000095014801500197,2001-03,E-MEDSOFT COM,8-K,no_items_found,,,,,
800181,000095014801500165,2001-03,E-MEDSOFT COM,8-K/A,no_items_found,,,,,
947431,000094344001000008,2001-01,EAGLE CAPITAL INTERNATIONAL LTD,8-K/A,no_items_found,,,,,
1038833,000104596901000344,2001-03,EDUCATION LOANS INC /DE,8-K,no_items_found,,,,,
771214,000107261301500004,2001-01,ELMERS RESTAURANTS INC,8-K,no_items_found,,,,,
32312,000003231201500012,2001-03,EMCEE BROADCAST PRODUCTS INC,8-K,no_items_found,,,,,
1021097,000091205701003005,2001-01,EMERGENT GROUP INC/NY,8-K,no_items_found,,,,,
1083413,000108341301000001,2001-03,EMPORIA SYSTEMS,8-K,no_items_found,,,,,
1067837,000089322001000327,2001-03,ENTERCOM COMMUNICATIONS CORP,8-K,no_items_found,,,,,
799235,000091205701007154,2001-03,ENVIRONMENTAL REMEDIATION HOLDING CORP,8-K,no_items_found,,,,,
1094363,000101041201500008,2001-02,ETG CORP,8-K,no_items_found,,,,,
1096550,000094935301000107,2001-03,FAIRCHILD INTERNATIONAL CORP,8-K,no_items_found,,,,,
1079297,000107735701000002,2001-01,FAIRFAX GROUP INC,8-K,no_items_found,,,,,
835767,000110188901500012,2001-03,FDN INC,8-K,no_items_found,,,,,
1037321,000091205701007586,2001-03,FINELINE PROPERTIES INC,8-K,no_items_found,,,,,
702325,000070232501500004,2001-01,FIRST MIDWEST BANCORP INC,8-K,no_items_found,,,,,
1075602,000093066101000519,2001-03,FIRST NBC CREDIT CARD MASTER TRUST,8-K,no_items_found,,,,,
819975,000093066101000520,2001-03,FIRST USA BANK NATIONAL ASSOCIATION,8-K,no_items_found,,,,,
890493,000093066101000520,2001-03,FIRST USA CREDIT CARD MASTER TRUST,8-K,no_items_found,,,,,
1069778,000102317501500070,2001-03,FLEXXTECH CORP,8-K/A,no_items_found,,,,,
1102301,000101968701000117,2001-02,FREEDOM SURF INC,8-K,no_items_found,,,,,
1102301,000101968701000227,2001-02,FREEDOM SURF INC,8-K,no_items_found,,,,,
1102301,000101968701000307,2001-03,FREESTAR TECHNOLOGIES,8-K/A,no_items_found,,,,,
1040850,000089155401500198,2001-01,FRONTLINE COMMUNICATIONS CORP,8-K,no_items_found,,,,,
910111,000092242301000076,2001-01,FUELNATION INC,8-K,no_items_found,,,,,
1025742,000092153001000005,2001-01,GETTY PETROLEUM MARKETING INC /MD/,8-K,no_items_found,,,,,
1025742,000092153001000008,2001-01,GETTY PETROLEUM MARKETING INC /MD/,8-K/A,no_items_found,,,,,
1114898,000093176301000401,2001-03,GLOBAL E TUTOR INC,8-K,no_items_found,,,,,
932021,000095014701500386,2001-02,GLOBAL TECHNOLOGIES LTD,8-K/A,no_items_found,,,,,
1081471,000091205701004414,2001-02,GLOBAL TELEPHONE COMMUNICATION INC /NV/,8-K,no_items_found,,,,,
1079574,000108503701000091,2001-02,GLOBALNETCARE INC,8-K,no_items_found,,,,,
1059413,000108127101000002,2001-01,GREAT BASIN WATER CO,8-K,no_items_found,,,,,
1057226,000105050201000216,2001-03,HADRO RESOURCES INC,8-K,no_items_found,,,,,
878355,000093066101000654,2001-03,HENDERSON CITIZENS BANCSHARES INC,8-K,no_items_found,,,,,
1038262,000095013101000034,2001-01,HOME SECURITY INTERNATIONAL INC,8-K,no_items_found,,,,,
1040227,000101540201000125,2001-01,HOME WEB INC,8-K,no_items_found,,,,,
1104254,000093088101500003,2001-02,HUDSONS GRILL INTERNATIONAL INC,8-K,no_items_found,,,,,
1104254,000093088101500004,2001-02,HUDSONS GRILL INTERNATIONAL INC,8-K/A,no_items_found,,,,,
1097805,000108503701000152,2001-03,HYATON ORGANICS INC,8-K,no_items_found,,,,,
1070181,000109181801000008,2001-02,HYPERBARIC SYSTEMS,8-K,no_items_found,,,,,
754499,000093173101000086,2001-03,I STORM INC,8-K,no_items_found,,,,,
1101176,000107414001000017,2001-02,ILIVE INC/NV,8-K,no_items_found,,,,,
918411,000091841101500003,2001-03,INFYNIA COM CORP,8-K,no_items_found,,,,,
1031911,000089161801500170,2001-03,INGENUUS CORP,8-K,no_items_found,,,,,
1068660,000101182301500002,2001-01,INTEGRATED TECHNOLOGY GROUP,8-K,no_items_found,,,,,
1090514,000101968701000116,2001-02,INTERNET GOLF ASSOCIATION INC,8-K,no_items_found,,,,,
1090514,000101968701000270,2001-03,INTERNET GOLF ASSOCIATION INC,8-K/A,no_items_found,,,,,
3959,000091205701006539,2001-02,INTERNET LAW LIBRARY INC,8-K,no_items_found,,,,,
318716,000091205701503790,2001-03,INTERNETMERCADO COM INC,8-K,no_items_found,,,,,
1053253,000108503701000003,2001-01,INVESTAMERICA INC,8-K/A,no_items_found,,,,,
723269,000109581101001429,2001-02,IRONSTONE GROUP INC,8-K,no_items_found,,,,,
723269,000093639201500021,2001-02,IRONSTONE GROUP INC,8-K/A,no_items_found,,,,,
1105064,000100547701000819,2001-02,IVOICE COM INC /DE,8-K,no_items_found,,,,,
819620,000105023401500007,2001-01,JET SET LIFE USA INC,8-K,no_items_found,,,,,
819620,000105023401500008,2001-01,JET SET LIFE USA INC,8-K/A,no_items_found,,,,,
819620,000105023401500010,2001-02,JET SET LIFE USA INC,8-K/A,no_items_found,,,,,
1130481,000113048101000003,2001-03,JOSHUA TREE CONSTRUCTION INC,8-K,no_items_found,,,,,
54193,000110465901500136,2001-03,K TEL INTERNATIONAL INC,8-K,no_items_found,,,,,
1075055,000113543201000003,2001-02,KENWICK INDUSTRIES INC,8-K,no_items_found,,,,,
1119378,000109581101500711,2001-03,KEYSTONE VENTURES INC,8-K,no_items_found,,,,,
1103993,000107579301000018,2001-01,LAS VEGAS GAMING INC,8-K,no_items_found,,,,,
911317,000109000201000030,2001-01,LASV ENTERPRISES INC,8-K,no_items_found,,,,,
911212,000089102001000004,2001-01,LEADING EDGE EARTH PRODUCTS INC,8-K,no_items_found,,,,,
1062128,000091205701001935,2001-01,LIL MARC INC,8-K,no_items_found,,,,,
949113,000101968701000147,2001-02,LMKI INC,8-K,no_items_found,,,,,
1025844,000102670001500002,2001-01,M & A WEST INC,8-K,no_items_found,,,,,
1025844,000102670001500003,2001-01,M & A WEST INC,8-K/A,no_items_found,,,,,
1000778,000107735701000063,2001-02,MARICULTURE SYSTEMS INC,8-K,no_items_found,,,,,
1002422,000102385601000002,2001-01,MEDCARE TECHNOLOGIES INC,8-K,no_items_found,,,,,
1002422,000102385601000012,2001-03,MEDCARE TECHNOLOGIES INC,8-K,no_items_found,,,,,
748790,000093173101000005,2001-01,MEDICAL DISCOVERIES INC,8-K/A,no_items_found,,,,,
1112481,000107704801000001,2001-01,MEGA MICRO TECHNOLOGIES GROUP,8-K,no_items_found,,,,,
1093819,000109381901000001,2001-01,MERIDIAN USA HOLDINGS INC,8-K,no_items_found,,,,,
1100734,000101540201000698,2001-03,MERILUS INC,8-K,no_items_found,,,,,
1061879,000095012301001084,2001-02,MERRILL LYNCH DEP INC PUBLIC STEERS TRUST CERT SER 1998 H-Z3,8-K,no_items_found,,,,,
1098635,000095012301002269,2001-03,MERRILL LYNCH DEPOSITOR INC PUBLIC STEERS SER 1999 REN C1 TR,8-K,no_items_found,,,,,
1084182,000108418201000002,2001-03,MODERNGROOVE ENTERTAINMENT INC,8-K,no_items_found,,,,,
854877,000102589401000025,2001-01,MONOGRAM PICTURES INC,8-K,no_items_found,,,,,
1133463,000113346301000004,2001-02,MORTGAGE PASS THROUGH CERTIFICATES SERIES 2001-1,8-K,no_items_found,,,,,
1133463,000113346301000005,2001-02,MORTGAGE PASS THROUGH CERTIFICATES SERIES 2001-1,8-K,no_items_found,,,,,
1133463,000113346301000007,2001-02,MORTGAGE PASS THROUGH CERTIFICATES SERIES 2001-1,8-K,no_items_found,,,,,
823190,000095013801000077,2001-03,MYWEB INC COM,8-K,no_items_found,,,,,
901899,000101774901500014,2001-03,NATIONAL HEALTH & SAFETY CORP,8-K/A,no_items_found,,,,,
1096840,000101359601000004,2001-01,NATIONAL REHAB PROPERTIES NV INC,8-K/A,no_items_found,,,,,
1096594,000100210501000005,2001-01,NATURAL SOLUTIONS CORP,8-K,no_items_found,,,,,
857501,000106594901000017,2001-02,NELX INC,8-K,no_items_found,,,,,
1081665,000108166501500006,2001-01,NETWORK ACCESS SOLUTIONS CORP,8-K,no_items_found,,,,,
932088,000095014701500264,2001-02,NETWORK CONNECTION INC,8-K,no_items_found,,,,,
910073,000100547701000817,2001-02,NEW YORK COMMUNITY BANCORP INC,8-K,no_items_found,,,,,
751976,000091205701007982,2001-03,NEWHALL LAND & FARMING CO /CA/,8-K,no_items_found,,,,,
356292,000095013301000037,2001-01,NEXT GENERATION MEDIA CORP,8-K,no_items_found,,,,,
856999,000095011001000230,2001-03,NIX CO LTD,8-K,no_items_found,,,,,
1034258,000095012401001015,2001-02,NOBLE INTERNATIONAL LTD,8-K,no_items_found,,,,,
72316,000100329701500060,2001-03,NORD RESOURCES CORP,8-K,no_items_found,,,,,
352447,000010159401000008,2001-02,NORTHWEST GOLD INC,8-K,no_items_found,,,,,
826773,000095013401000053,2001-01,NOVO NETWORKS INC,8-K,no_items_found,,,,,
216810,000089907801000148,2001-03,NPC HOLDINGS INC,8-K,no_items_found,,,,,
