cik,acc_nodash,date_filed,filing_year,auditor_out,auditor_in,out_big4,in_big4,quality_direction,reason,disagreements
764897,000089322001000011,2001-01-03,2001,,Grant Thornton,,False,nonBig4_to_nonBig4,dismissal,True
1025844,000102670001500002,2001-01-03,2001,,,,,nonBig4_to_nonBig4,resignation,True
1025844,000102670001500003,2001-01-03,2001,,,,,nonBig4_to_nonBig4,resignation,True
1038262,000095013101000034,2001-01-03,2001,,,,,nonBig4_to_nonBig4,resignation,True
1079297,000107735701000002,2001-01-03,2001,,,,,nonBig4_to_nonBig4,unclassified,False
798538,000079853801000002,2001-01-04,2001,,,,,nonBig4_to_nonBig4,unclassified,False
826773,000095013401000053,2001-01-04,2001,,Arthur Andersen,,True,nonBig4_to_Big4,dismissal,True
1082121,000089706901000003,2001-01-04,2001,,,,,nonBig4_to_nonBig4,resignation,True
748790,000093173101000005,2001-01-04,2001,,,,,nonBig4_to_nonBig4,resignation,True
1109664,000108671501000001,2001-01-04,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1014299,000101905601000007,2001-01-04,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1052914,000089843201000003,2001-01-05,2001,KPMG,BDO,True,False,Big4_to_nonBig4,dismissal,True
1109153,000101054901000002,2001-01-05,2001,,,,,nonBig4_to_nonBig4,unclassified,True
811671,000081167101500005,2001-01-05,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1075082,000101041201000003,2001-01-05,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1052914,000089843201000008,2001-01-05,2001,KPMG,BDO,True,False,Big4_to_nonBig4,dismissal,True
890175,000104596901000007,2001-01-08,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1094744,000104596901000007,2001-01-08,2001,,,,,nonBig4_to_nonBig4,unclassified,False
880432,000095013601000046,2001-01-08,2001,,KPMG,,True,nonBig4_to_Big4,dismissal,True
907069,000102670001500004,2001-01-08,2001,,,,,nonBig4_to_nonBig4,resignation,True
946486,000100547701000073,2001-01-08,2001,,Ernst & Young,,True,nonBig4_to_Big4,dismissal,True
713975,000091205701000536,2001-01-08,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1109448,000091205701000833,2001-01-09,2001,,,,,nonBig4_to_nonBig4,unclassified,False
825313,000091205701000832,2001-01-09,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1025742,000092153001000005,2001-01-09,2001,,KPMG,,True,nonBig4_to_Big4,dismissal,True
1081944,000109527301500003,2001-01-09,2001,,,,,nonBig4_to_nonBig4,unclassified,False
946486,000100547701000081,2001-01-09,2001,,Ernst & Young,,True,nonBig4_to_Big4,dismissal,True
1088116,000091205701000995,2001-01-10,2001,Ernst & Young,Ernst & Young,True,True,Big4_to_Big4,resignation,True
1130827,000113082701000003,2001-01-10,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1082575,000095012401000105,2001-01-10,2001,,,,,nonBig4_to_nonBig4,dismissal,True
41296,000094420901000024,2001-01-10,2001,,BDO,,False,nonBig4_to_nonBig4,dismissal,False
16590,000001659001500003,2001-01-10,2001,,,,,nonBig4_to_nonBig4,dismissal,True
752208,000101092401000005,2001-01-11,2001,,KPMG,,True,nonBig4_to_Big4,dismissal,True
1014299,000101905601000027,2001-01-11,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1056757,000103570401000020,2001-01-11,2001,,,,,nonBig4_to_nonBig4,dismissal,True
318300,000031830001000004,2001-01-12,2001,,,,,nonBig4_to_nonBig4,unclassified,False
87888,000091205701001278,2001-01-12,2001,PricewaterhouseCoopers,PwC,True,True,Big4_to_Big4,dismissal,True
1096299,000093173101000007,2001-01-12,2001,,,,,nonBig4_to_nonBig4,unclassified,False
743758,000104642401000001,2001-01-12,2001,,,,,nonBig4_to_nonBig4,dismissal,True
1082575,000095012401000192,2001-01-16,2001,,,,,nonBig4_to_nonBig4,dismissal,True
894356,000106823801000018,2001-01-16,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1094744,000104596901000028,2001-01-16,2001,,,,,nonBig4_to_nonBig4,unclassified,False
906737,000090673701000003,2001-01-16,2001,,,,,nonBig4_to_nonBig4,unclassified,False
890175,000104596901000028,2001-01-16,2001,,,,,nonBig4_to_nonBig4,unclassified,False
6383,000000638301000009,2001-01-16,2001,Deloitte,PricewaterhouseCoopers,True,True,Big4_to_Big4,dismissal,True
1068660,000101182301500002,2001-01-16,2001,,,,,nonBig4_to_nonBig4,dismissal,True
713975,000091205701001459,2001-01-16,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1130464,000001240001000008,2001-01-16,2001,,,,,nonBig4_to_nonBig4,unclassified,False
826405,000102670001500016,2001-01-17,2001,Grant  Thornton,,False,,nonBig4_to_nonBig4,dismissal,True
798538,000079853801000004,2001-01-17,2001,,,,,nonBig4_to_nonBig4,unclassified,True
1025742,000092153001000008,2001-01-17,2001,,KPMG,,True,nonBig4_to_Big4,dismissal,True
1077919,000107791901000001,2001-01-18,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1059623,000095014401001297,2001-01-18,2001,,,,,nonBig4_to_nonBig4,dismissal,True
1008586,000095015201000309,2001-01-18,2001,,,,,nonBig4_to_nonBig4,unclassified,False
830664,000083066401500002,2001-01-18,2001,,,,,nonBig4_to_nonBig4,unclassified,False
721080,000100544401000009,2001-01-18,2001,Deloitte,Deloitte,True,True,Big4_to_Big4,dismissal,False
825313,000091205701001976,2001-01-18,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1109448,000091205701001975,2001-01-18,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1062128,000091205701001935,2001-01-18,2001,,,,,nonBig4_to_nonBig4,unclassified,True
1094744,000104596901000032,2001-01-19,2001,,,,,nonBig4_to_nonBig4,unclassified,False
890175,000104596901000032,2001-01-19,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1091596,000095013601000104,2001-01-19,2001,,KPMG,,True,nonBig4_to_Big4,unclassified,True
911317,000109000201000030,2001-01-19,2001,,,,,nonBig4_to_nonBig4,dismissal,True
702325,000070232501500004,2001-01-19,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1103023,000110302301000002,2001-01-19,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1075736,000102048801000009,2001-01-22,2001,,KPMG,,True,nonBig4_to_Big4,dismissal,True
