cik,acc_nodash,date_filed,company_name,reason
0001025844,000102670001500002,2001-01-03,M & A WEST INC,no_permno_link
0001079297,000107735701000002,2001-01-03,FAIRFAX GROUP INC,no_permno_link
0000798538,000079853801000002,2001-01-04,ADEN ENTERPRISES INC,no_permno_link
0000826773,000095013401000053,2001-01-04,NOVO NETWORKS INC,no_permno_link
0001082121,000089706901000003,2001-01-04,ANGELAUDIO COM INC /DE/,no_permno_link
0001109664,000108671501000001,2001-01-04,E SYNERGIES INC,no_permno_link
0001014299,000101905601000007,2001-01-04,SAXON ASSET SECURITIES CO,no_permno_link
0001109153,000101054901000002,2001-01-05,QUADRIC ACQUISITION CORP,no_permno_link
0001075082,000101041201000003,2001-01-05,BETHURUM LABORATORIES INC,no_permno_link
0000890175,000104596901000007,2001-01-08,CONSECO FINANCE CORP,no_permno_link
0001094744,000104596901000007,2001-01-08,CONSECO FINANCE SECURITIZATIONS CORP,no_permno_link
0000907069,000102670001500004,2001-01-08,USCI INC,no_permno_link
0001109448,000091205701000833,2001-01-09,ALLIANCE CAPITAL MANAGEMENT L P,no_permno_link
0000825313,000091205701000832,2001-01-09,ALLIANCE CAPITAL MANAGEMENT HOLDING LP,no_permno_link
0001081944,000109527301500003,2001-01-09,ADVANCE TECHNOLOGIES INC,no_permno_link
0001088116,000091205701000995,2001-01-10,SUNHAWK COM CORP,no_permno_link
0001130827,000113082701000003,2001-01-10,PNC MORTGAGE SECURITIES CORP MORT PASS THRO CERT SER 2000-9,no_permno_link
0001082575,000095012401000105,2001-01-10,PANORAMIC CARE SYSTEMS INC,no_permno_link
0000041296,000094420901000024,2001-01-10,GIANT GROUP LTD,no_permno_link
0000016590,000001659001500003,2001-01-10,CAMBEX CORP,no_permno_link
0000752208,000101092401000005,2001-01-11,DYNATEC INTERNATIONAL INC,no_permno_link
0001014299,000101905601000027,2001-01-11,SAXON ASSET SECURITIES CO,no_permno_link
0001056757,000103570401000020,2001-01-11,SEYCHELLE ENVIRONMENTAL TECHNOLOGIES INC /CA,no_permno_link
0000087888,000091205701001278,2001-01-12,TELECOMM INDUSTRIES CORP,no_permno_link
0001096299,000093173101000007,2001-01-12,TRADAMAZ ASIA GROUP,no_permno_link
0000743758,000104642401000001,2001-01-12,JNS MARKETING INC,no_permno_link
0000894356,000106823801000018,2001-01-16,STRUCTURED PRODUCTS CORP,no_permno_link
0001094744,000104596901000028,2001-01-16,CONSECO FINANCE SECURITIZATIONS CORP,no_permno_link
0000906737,000090673701000003,2001-01-16,JACKSON PRODUCTS INC,no_permno_link
0000890175,000104596901000028,2001-01-16,CONSECO FINANCE CORP,no_permno_link
0000006383,000000638301000009,2001-01-16,ANDERSEN GROUP INC,no_permno_link
0001068660,000101182301500002,2001-01-16,INTEGRATED TECHNOLOGY GROUP,no_permno_link
0001077919,000107791901000001,2001-01-18,FRESH BREATH INDUSTRIES INC,no_permno_link
0001059623,000095014401001297,2001-01-18,BIOSHIELD TECHNOLOGIES INC,no_permno_link
0001008586,000095015201000309,2001-01-18,LANVISION SYSTEMS INC,no_permno_link
0000830664,000083066401500002,2001-01-18,VECTOR HOLDINGS CORP,no_permno_link
0000721080,000100544401000009,2001-01-18,AZUL HOLDINGS INC,no_permno_link
0000825313,000091205701001976,2001-01-18,ALLIANCE CAPITAL MANAGEMENT HOLDING LP,no_permno_link
0001109448,000091205701001975,2001-01-18,ALLIANCE CAPITAL MANAGEMENT L P,no_permno_link
0001062128,000091205701001935,2001-01-18,LIL MARC INC,no_permno_link
0001094744,000104596901000032,2001-01-19,CONSECO FINANCE SECURITIZATIONS CORP,no_permno_link
0000890175,000104596901000032,2001-01-19,CONSECO FINANCE CORP,no_permno_link
0001091596,000095013601000104,2001-01-19,CYTOMEDIX INC,no_permno_link
0000911317,000109000201000030,2001-01-19,LASV ENTERPRISES INC,no_permno_link
0001103023,000110302301000002,2001-01-19,OMNINET MEDIA COM INC,no_permno_link
0001075736,000102048801000009,2001-01-22,NETGATEWAY INC,no_permno_link
0001002455,000101489701000007,2001-01-24,CASINO JOURNAL PUBLISHING GROUP INC,no_permno_link
0000225211,000022521101000001,2001-01-24,BICO INC/PA,no_permno_link
0000057201,000005720101000003,2001-01-24,QUENTRA NETWORKS INC,no_permno_link
0001072988,000107298801000004,2001-01-24,ALTREX INC,no_permno_link
0001125131,000095016801000111,2001-01-24,OMI TRUST 2000-C,no_permno_link
0001130764,000095016801000110,2001-01-24,OAKWOOD MORTGAGE INVESTORS INC OMI TRUST 2000-D,no_permno_link
0000874482,000087448201500005,2001-01-24,UNION NATIONAL FINANCIAL CORP / PA,no_permno_link
0001084133,000108671501000015,2001-01-25,MERCURY SOFTWARE,no_permno_link
0001084047,000108671501000014,2001-01-25,INNOVATIVE SOFTWARE TECHNOLOGIES INC,no_permno_link
0000822618,000095014801000102,2001-01-26,UMEMBER COM INC /CO/,no_permno_link
0001017531,000106823801000032,2001-01-26,TRANSCANADA CAPITAL,no_permno_link
0001096299,000093173101000023,2001-01-26,TRADAMAX GROUP,no_permno_link
0000910111,000092242301000076,2001-01-26,FUELNATION INC,no_permno_link
0001021097,000091205701003005,2001-01-26,EMERGENT GROUP INC/NY,no_permno_link
0001094744,000104596901000053,2001-01-26,CONSECO FINANCE SECURITIZATIONS CORP,no_permno_link
0001007797,000106823801000033,2001-01-26,CANADIAN GENERAL CAPITAL,no_permno_link
0000885195,000095014401001540,2001-01-26,MED WASTE INC,no_permno_link
0000890175,000104596901000053,2001-01-26,CONSECO FINANCE CORP,no_permno_link
0000949113,000101968701000097,2001-01-29,LMKI INC,no_permno_link
0001083941,000091205701003203,2001-01-29,STARBRIDGE GLOBAL INC,no_permno_link
0001094744,000104596901000055,2001-01-29,CONSECO FINANCE SECURITIZATIONS CORP,no_permno_link
0000890175,000104596901000055,2001-01-29,CONSECO FINANCE CORP,no_permno_link
0001059413,000108127101000002,2001-01-30,GREAT BASIN WATER CO,no_permno_link
0001130827,000113346301000001,2001-01-30,PNC MORTGAGE SECURITIES CORP MORT PASS THRO CERT SER 2000-9,no_permno_link
0001130827,000113346301000002,2001-01-30,PNC MORTGAGE SECURITIES CORP MORT PASS THRO CERT SER 2000-9,no_permno_link
0000894566,000091205701003472,2001-01-30,AMERICAN SPORTS HISTORY INC,no_permno_link
0001094744,000104596901000079,2001-01-31,CONSECO FINANCE SECURITIZATIONS CORP,no_permno_link
0000890175,000104596901000079,2001-01-31,CONSECO FINANCE CORP,no_permno_link
0000949113,000101968701000103,2001-01-31,LMKI INC,no_permno_link
0001038833,000104596901000078,2001-01-31,EDUCATION LOANS INC /DE,no_permno_link
0001075445,000107735701000029,2001-02-05,DIVERSIFIED PRODUCT INSPECTIONS INC /TN/,no_permno_link
0001085258,000095013001000607,2001-02-05,WOLFPACK CORP,no_permno_link
0000776105,000095013601000191,2001-02-05,WINTHROP CALIFORNIA INVESTORS LTD PARTNERSHIP,no_permno_link
0001102301,000101968701000117,2001-02-05,FREEDOM SURF INC,no_permno_link
0000225211,000022521101000002,2001-02-05,BICO INC/PA,no_permno_link
0001014299,000101905601000053,2001-02-06,SAXON ASSET SECURITIES CO,no_permno_link
0000355701,000101968701000119,2001-02-06,CENTURY INDUSTRIES INC /DC/,no_permno_link
0000791885,000095011001000094,2001-02-06,TASTY FRIES INC,no_permno_link
0001088312,000102670001500026,2001-02-07,INTERMOST CORP,no_permno_link
0000842927,000105050201000081,2001-02-07,CARE CONCEPTS INC,no_permno_link
0001109448,000091205701004212,2001-02-07,ALLIANCE CAPITAL MANAGEMENT L P,no_permno_link
0000825313,000091205701004216,2001-02-07,ALLIANCE CAPITAL MANAGEMENT HOLDING LP,no_permno_link
0001104254,000093088101500003,2001-02-07,HUDSONS GRILL INTERNATIONAL INC,no_permno_link
