cik,acc_nodash,date_filed,company_name,form_type,parse_status,item401_text,auditor_out,auditor_in,reason,disagreements
919012,000095013201000090,2001-02,AMERICAN EAGLE OUTFITTERS INC,8-K/A,no_items_found,,,,,
1127075,000091412101000036,2001-01,BANK OF AMERICA MORT SEC INC MORT PASS THR CERT SER 2000-6,8-K/A,no_items_found,,,,,
1103021,000095014401001507,2001-01,BIODELIVERY SCIENCES INTERNATIONAL INC,8-K/A,no_items_found,,,,,
25305,000101019201000039,2001-03,COX COMMUNICATIONS INC /DE/,8-K/A,no_items_found,,,,,
1135660,000090514801000622,2001-03,CWABS INC ASSET BACKED CERTIFICATES SERIES 2001-1,8-K/A,no_items_found,,,,,
45012,000004501201000006,2001-03,HALLIBURTON CO,8-K/A,no_items_found,,,,,
764867,000092838501000405,2001-02,ITC LEARNING CORP,8-K/A,no_items_found,,,,,
912093,000091209301500006,2001-03,JDS UNIPHASE CORP /CA/,8-K/A,no_items_found,,,,,
912750,000095012901000786,2001-02,NEWFIELD EXPLORATION CO /DE/,8-K/A,no_items_found,,,,,
82409,000089710101500026,2001-03,REALCO INC /NM/,8-K/A,no_items_found,,,,,
1043860,000091205701003274,2001-01,SKYGIVERS INC,8-K/A,no_items_found,,,,,
1048914,000095013701000183,2001-01,SOVEREIGN SPECIALTY CHEMICALS INC,8-K/A,no_items_found,,,,,
1129495,000095013601000249,2001-02,STRUCTURED ASSET SEC CORP COMM MORT PAS THR CERT SER 2000 C5,8-K/A,no_items_found,,,,,
709878,000095012301500265,2001-03,UNIVERSAL AMERICAN FINANCIAL CORP,8-K/A,no_items_found,,,,,
1127138,000091412101000016,2001-01,WELLS FARGO ASSET SECURITIES CORP MORT BK SEC 2000-10 TRUST,8-K/A,no_items_found,,,,,
1141251,000090256101500093,2001-06,ABN AMRO MORTGAGE CORP SERIES 2001-2,8-K/A,no_items_found,,,,,
1034764,000103883801500120,2001-06,ALMOST COUNTRY PRODUCTIONS INC,8-K/A,no_items_found,,,,,
1084681,000091664101500659,2001-06,APPLE SUITES INC,8-K/A,no_items_found,,,,,
1133464,000090514801500244,2001-05,ASSET BACKED CERTIFICATES SERIES 2001-BC1,8-K/A,no_items_found,,,,,
829750,000095013301501554,2001-06,BANKNORTH GROUP INC/ME,8-K/A,no_items_found,,,,,
1122742,000113709101500123,2001-05,BISASSIST INC,8-K/A,no_items_found,,,,,
1129245,000090514801000911,2001-04,CWABS INC ASSET BACKED CERTIFICATES SERIES 2000 4,8-K/A,no_items_found,,,,,
